date,user,total_logons,total_logoffs,after_hours_logons,weekend_logons,usb_connects,files_accessed,files_copied_external,lexical_risk_score,flagged_terms,ae_score,lstm_score,if_score,risk_score,risk_level,shap_attributions
2026-08-01,USER_001,1,1,0,1,0.0,8,0,0.0,0,0.0335,0.0,0.6804,14.78,Low,"{""total_logons"": 0.11, ""total_logoffs"": 0.08, ""after_hours_logons"": 0.15, ""weekend_logons"": 13.31, ""usb_connects"": 0.64, ""files_accessed"": 0.45, ""files_copied_external"": 0.04, ""lstm_temporal"": 0.0, ""nlp_lexical"": 0.0}"
2026-08-03,USER_001,1,1,0,0,0.0,7,0,0.0,0,0.0009,0.0,0.034,0.71,Low,"{""total_logons"": 0.05, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.07, ""weekend_logons"": 0.13, ""usb_connects"": 0.3, ""files_accessed"": 0.15, ""files_copied_external"": 0.02, ""lstm_temporal"": 0.0, ""nlp_lexical"": 0.0}"
2026-08-04,USER_001,1,1,0,0,0.0,17,0,0.0,0,0.0003,0.0,0.0264,0.54,Low,"{""total_logons"": 0.03, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.04, ""weekend_logons"": 0.09, ""usb_connects"": 0.22, ""files_accessed"": 0.14, ""files_copied_external"": 0.01, ""lstm_temporal"": 0.0, ""nlp_lexical"": 0.0}"
2026-08-05,USER_001,1,1,0,0,0.0,6,0,0.0,0,0.0011,0.0,0.1128,2.29,Low,"{""total_logons"": 0.1, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.12, ""weekend_logons"": 0.25, ""usb_connects"": 0.63, ""files_accessed"": 1.16, ""files_copied_external"": 0.04, ""lstm_temporal"": 0.0, ""nlp_lexical"": 0.0}"
2026-08-06,USER_001,1,1,0,0,0.0,16,0,0.0,0,1e-04,0.0118,0.0081,0.46,Low,"{""total_logons"": 0.01, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.01, ""weekend_logons"": 0.02, ""usb_connects"": 0.06, ""files_accessed"": 0.06, ""files_copied_external"": 0.0, ""lstm_temporal"": 0.29, ""nlp_lexical"": 0.0}"
2026-08-07,USER_001,1,1,0,0,0.0,9,0,0.0,0,0.0007,0.0171,0.0431,1.31,Low,"{""total_logons"": 0.07, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.08, ""weekend_logons"": 0.18, ""usb_connects"": 0.4, ""files_accessed"": 0.12, ""files_copied_external"": 0.03, ""lstm_temporal"": 0.43, ""nlp_lexical"": 0.0}"
2026-08-10,USER_001,1,1,0,0,0.0,15,0,0.0,0,0.0,0.0129,0.0073,0.47,Low,"{""total_logons"": 0.01, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.01, ""weekend_logons"": 0.02, ""usb_connects"": 0.05, ""files_accessed"": 0.06, ""files_copied_external"": 0.0, ""lstm_temporal"": 0.32, ""nlp_lexical"": 0.0}"
2026-08-11,USER_001,1,1,0,0,0.0,14,0,0.0,0,0.0,0.0152,0.0143,0.67,Low,"{""total_logons"": 0.02, ""total_logoffs"": 0.0, ""after_hours_logons"": 0.02, ""weekend_logons"": 0.04, ""usb_connects"": 0.1, ""files_accessed"": 0.11, ""files_copied_external"": 0.01, ""lstm_temporal"": 0.38, ""nlp_lexical"": 0.0}"
2026-08-12,USER_001,3,1,2,0,1.0,18,0,0.0,0,0.1275,1.0,0.8265,45.99,Medium,"{""total_logons"": 7.67, ""total_logoffs"": 0.05, ""after_hours_logons"": 8.15, ""weekend_logons"": 2.01, ""usb_connects"": 2.81, ""files_accessed"": 0.2, ""files_copied_external"": 0.11, ""lstm_temporal"": 25.0, ""nlp_lexical"": 0.0}"
2026-08-13,USER_001,3,1,2,0,1.0,18,0,0.0,0,0.1275,0.0125,0.8265,21.3,Low,"{""total_logons"": 7.67, ""total_logoffs"": 0.05, ""after_hours_logons"": 8.15, ""weekend_logons"": 2.01, ""usb_connects"": 2.81, ""files_accessed"": 0.2, ""files_copied_external"": 0.11, ""lstm_temporal"": 0.31, ""nlp_lexical"": 0.0}"
