date,user,total_logons,total_logoffs,after_hours_logons,weekend_logons,usb_connects,files_accessed,files_copied_external,lexical_risk_score,flagged_terms
2026-08-01,USER_001,1,1,0,1,0.0,8,0,0.0,0
2026-08-03,USER_001,1,1,0,0,0.0,7,0,0.0,0
2026-08-04,USER_001,1,1,0,0,0.0,17,0,0.0,0
2026-08-05,USER_001,1,1,0,0,0.0,6,0,0.0,0
2026-08-06,USER_001,1,1,0,0,0.0,16,0,0.0,0
2026-08-07,USER_001,1,1,0,0,0.0,9,0,0.0,0
2026-08-10,USER_001,1,1,0,0,0.0,15,0,0.0,0
2026-08-11,USER_001,1,1,0,0,0.0,14,0,0.0,0
2026-08-12,USER_001,3,1,2,0,1.0,18,0,0.0,0
2026-08-13,USER_001,3,1,2,0,1.0,18,0,0.0,0
2026-08-14,USER_001,3,1,2,0,0.0,9,0,0.0,0
2026-08-03,USER_002,1,1,0,0,0.0,11,0,0.0,0
2026-08-04,USER_002,1,1,0,0,0.0,16,0,0.0,0
2026-08-05,USER_002,1,1,0,0,1.0,13,0,0.0,0
2026-08-06,USER_002,1,1,0,0,0.0,16,0,0.0,0
2026-08-07,USER_002,1,1,0,0,0.0,18,0,0.0,0
2026-08-10,USER_002,1,1,0,0,0.0,12,0,0.0,0
2026-08-11,USER_002,1,1,0,0,0.0,10,0,0.0,0
2026-08-12,USER_002,1,1,0,0,3.0,14,0,0.0,0
2026-08-13,USER_002,1,1,0,0,3.0,20,0,0.0,0
2026-08-14,USER_002,1,1,0,0,3.0,16,0,0.0,0
2026-08-03,USER_003,1,1,0,0,0.0,15,0,0.0,0
2026-08-04,USER_003,1,1,0,0,0.0,16,0,0.0,0
2026-08-05,USER_003,1,1,0,0,0.0,16,0,0.0,0
2026-08-06,USER_003,1,1,0,0,1.0,9,0,0.0,0
2026-08-07,USER_003,1,1,0,0,0.0,20,0,0.0,0
2026-08-10,USER_003,1,1,0,0,0.0,8,0,0.0,0
2026-08-11,USER_003,1,1,0,0,0.0,9,0,0.0,0
2026-08-12,USER_003,1,1,0,0,0.0,18,0,0.0,0
2026-08-13,USER_003,1,1,0,0,1.0,16,0,0.7,2
2026-08-14,USER_003,1,1,0,0,0.0,5,0,0.0,0
2026-08-03,USER_004,1,1,0,0,1.0,8,0,0.0,0
2026-08-04,USER_004,1,1,0,0,0.0,12,0,0.0,0
2026-08-05,USER_004,1,1,0,0,0.0,18,0,0.0,0
2026-08-06,USER_004,1,1,0,0,0.0,8,0,0.0,0
2026-08-07,USER_004,1,1,0,0,0.0,13,0,0.0,0
2026-08-10,USER_004,1,1,0,0,0.0,15,0,0.0,0
2026-08-11,USER_004,1,1,0,0,0.0,7,0,0.0,0
2026-08-12,USER_004,2,1,1,0,4.0,69,51,1.0,3
2026-08-13,USER_004,2,1,1,0,4.0,87,69,0.35,1
2026-08-14,USER_004,2,1,1,0,4.0,68,60,0.35,1
2026-08-01,USER_005,1,1,0,1,0.0,13,0,0.0,0
2026-08-03,USER_005,1,1,0,0,1.0,20,0,0.0,0
2026-08-04,USER_005,1,1,0,0,1.0,20,0,0.0,0
2026-08-05,USER_005,1,1,0,0,0.0,11,0,0.0,0
2026-08-06,USER_005,1,1,0,0,0.0,12,0,0.0,0
2026-08-07,USER_005,1,1,0,0,0.0,12,0,0.0,0
2026-08-10,USER_005,1,1,0,0,0.0,14,0,0.0,0
2026-08-11,USER_005,1,1,0,0,0.0,13,0,0.0,0
2026-08-12,USER_005,1,1,0,0,0.0,38,0,0.0,0
2026-08-13,USER_005,1,1,0,0,0.0,33,0,0.0,0
2026-08-14,USER_005,1,1,0,0,0.0,24,0,0.0,0
2026-08-03,USER_006,1,1,0,0,0.0,12,0,0.0,0
2026-08-04,USER_006,1,1,0,0,0.0,13,0,0.0,0
2026-08-05,USER_006,1,1,0,0,1.0,13,0,0.0,0
2026-08-06,USER_006,1,1,0,0,0.0,8,0,0.0,0
2026-08-07,USER_006,1,1,0,0,0.0,7,0,0.0,0
2026-08-10,USER_006,1,1,0,0,0.0,17,0,0.0,0
2026-08-11,USER_006,1,1,0,0,0.0,8,0,0.0,0
2026-08-12,USER_006,1,1,0,0,0.0,7,0,0.0,0
2026-08-13,USER_006,1,1,0,0,0.0,9,0,0.0,0
2026-08-14,USER_006,1,1,0,0,0.0,20,0,0.0,0
2026-08-03,USER_007,1,1,0,0,0.0,7,0,0.0,0
2026-08-04,USER_007,1,1,0,0,0.0,20,0,0.0,0
2026-08-05,USER_007,1,1,0,0,0.0,19,0,0.0,0
2026-08-06,USER_007,1,1,0,0,0.0,6,0,0.0,0
2026-08-07,USER_007,1,1,0,0,0.0,8,0,0.0,0
2026-08-10,USER_007,1,1,0,0,0.0,11,0,0.0,0
2026-08-11,USER_007,1,1,0,0,0.0,15,0,0.0,0
2026-08-12,USER_007,1,1,0,0,0.0,9,0,0.0,0
2026-08-13,USER_007,1,1,0,0,0.0,5,0,0.0,0
2026-08-14,USER_007,1,1,0,0,0.0,7,0,0.0,0
2026-08-01,USER_008,1,1,0,1,0.0,12,0,0.0,0
2026-08-03,USER_008,1,1,0,0,0.0,5,0,0.0,0
2026-08-04,USER_008,1,1,0,0,0.0,7,0,0.0,0
2026-08-05,USER_008,1,1,0,0,0.0,13,0,0.0,0
2026-08-06,USER_008,1,1,0,0,0.0,6,0,0.0,0
2026-08-07,USER_008,1,1,0,0,0.0,15,0,0.0,0
2026-08-08,USER_008,1,1,0,1,0.0,18,0,0.0,0
2026-08-10,USER_008,1,1,0,0,1.0,15,0,0.0,0
2026-08-11,USER_008,1,1,0,0,0.0,11,0,0.0,0
2026-08-12,USER_008,1,1,0,0,0.0,12,0,0.0,0
2026-08-13,USER_008,1,1,0,0,0.0,11,0,0.0,0
2026-08-14,USER_008,1,1,0,0,0.0,17,0,0.0,0
2026-08-03,USER_009,1,1,0,0,0.0,15,0,0.0,0
2026-08-04,USER_009,1,1,0,0,0.0,12,0,0.0,0
2026-08-05,USER_009,1,1,0,0,0.0,14,0,0.0,0
2026-08-06,USER_009,1,1,0,0,0.0,7,0,0.0,0
2026-08-07,USER_009,1,1,0,0,0.0,12,0,0.0,0
2026-08-10,USER_009,1,1,0,0,0.0,8,0,0.0,0
2026-08-11,USER_009,1,1,0,0,0.0,18,0,0.0,0
2026-08-12,USER_009,1,1,0,0,0.0,13,0,0.0,0
2026-08-13,USER_009,1,1,0,0,0.0,15,0,0.0,0
2026-08-14,USER_009,1,1,0,0,0.0,18,0,0.0,0
